Project_ID,Date,Region,State,Warehouse,Supplier,Material_Type,Project_Phase,Tower_Type,Substation_Type,Historical_Demand,Current_Inventory,Lead_Time_Days,Supplier_Risk,Commodity_Price,Transportation_Cost,Storage_Capacity,Production_Capacity,Project_Budget,Weather,Season,Quantity_Required
PG-PROJ-022,2025-05-07,NER,Manipur,WH-NER-02,Kalpataru Power,Tower Member,Foundation,Suspension,GIS (Gas Insulated),127.0,681.0,85.0,0.4257418667030119,131.32202960470735,96.65301378906463,7423,5294,259697,Normal,Summer,742
PG-PROJ-001,2021-11-17,NR,Haryana,WH-NR-01,Tata Power,Transformer,Testing & Commissioning,Terminal,GIS (Gas Insulated),,,,,105.05382403111754,28.364532488401736,7656,5447,182714,,Post-Monsoon,5
PG-PROJ-023,2021-06-30,NER,Manipur,WH-NER-02,Kalpataru Power,Tower Member,Planning,Suspension,AIS (Air Insulated),814.0,391.0,76.0,0.28689849185114435,145.26264116480326,74.37447227637927,7423,5294,138020,Normal,Monsoon,0
PG-PROJ-EMER-004,2020-02-26,WR,Gujarat,WH-WR-02,Tata Power,Hardware Fittings,Testing & Commissioning,Suspension,GIS (Gas Insulated),359.0,10.0,10.0,0.11309256616538362,107.04651629160595,91.04306210601088,7653,6063,201701,Normal,Winter,452
PG-PROJ-007,2021-03-03,ER,Bihar,WH-ER-02,Skipper Limited,Insulator,Stringing,Terminal,GIS (Gas Insulated),1204.0,21.0,28.0,0.16733657038644822,154.07324230423507,69.33295903690578,5767,6179,181516,Normal,Summer,837
PG-PROJ-006,2025-04-30,ER,Bihar,WH-ER-02,Skipper Limited,Insulator,Stringing,Terminal,GIS (Gas Insulated),411.0,619.0,30.0,0.15815247014723194,135.6156376058534,62.7222323927072,5767,6179,82725,Normal,Summer,965
PG-PROJ-EMER-002,2020-07-22,WR,Maharashtra,WH-WR-01,Sterlite Power,Conductor,Stringing,Tension,GIS (Gas Insulated),,,,,98.23938245223314,103.15135157484481,7357,3777,557412,,Monsoon,2476
PG-PROJ-012,2021-11-03,NER,Assam,WH-NER-01,Tata Power,Hardware Fittings,Foundation,Transposition,GIS (Gas Insulated),141.0,333.0,19.0,0.1852611434259707,105.30571887713533,59.13969172139921,4113,5424,99220,Heavy Wind,Post-Monsoon,445
PG-PROJ-021,2021-09-29,SR,Tamil Nadu,WH-SR-01,Kalpataru Power,Earthwire,Stringing,Terminal,GIS (Gas Insulated),383.0,14.0,30.0,0.20126670540095104,101.50296748579933,54.278711863031184,4017,4962,183442,Normal,Monsoon,311
PG-PROJ-016,2020-06-17,NR,Haryana,WH-NR-01,Tata Power,Transformer,Testing & Commissioning,Tension,GIS (Gas Insulated),2.0,2163.0,88.0,0.3869575918897908,101.49111822090453,32.98461342179397,7656,5447,185669,Heavy Wind,Monsoon,7
PG-PROJ-021,2022-07-06,SR,Tamil Nadu,WH-SR-01,KEC International,Tower Member,Stringing,Transposition,AIS (Air Insulated),280.0,149.0,56.0,0.27227843777978183,108.19515215451672,36.08308324353132,3861,3065,183442,Normal,Monsoon,366
PG-PROJ-EMER-001,2021-09-01,SR,Andhra Pradesh,WH-SR-02,Kalpataru Power,Earthwire,Stringing,Angle,Hybrid,362.0,542.0,14.0,0.13091305679339535,100.18928051064336,106.00025878026067,7158,6118,381926,Normal,Monsoon,638
PG-PROJ-021,2025-04-30,SR,Tamil Nadu,WH-SR-01,Skipper Limited,Insulator,Planning,Suspension,Hybrid,15.0,110.0,28.0,0.17619104675888678,135.6156376058534,68.62151262856182,6869,2785,183442,Normal,Summer,56
PG-PROJ-002,2023-02-22,ER,West Bengal,WH-ER-01,KEC International,Tower Member,Testing & Commissioning,Transposition,Hybrid,465.0,244.0,63.0,0.3171446569542349,125.23502254891619,67.31382462004245,5578,2314,308743,Normal,Winter,423
