Feature Name,Importance,Correlation,Variance,Status,Reason
Date,N/A,N/A,N/A,Selected,Kept (Protected)
Project_ID,N/A,N/A,N/A,Selected,Kept (Protected)
State,0.001229,N/A,2.006769,Removed,Ranked #44 in importance (not in top 28)
Warehouse,0.001604,N/A,8.186816,Removed,Ranked #43 in importance (not in top 28)
Supplier,0.005728,N/A,1.657821,Removed,Ranked #31 in importance (not in top 28)
Project_Phase,0.006341,N/A,1.995624,Selected,Kept (Selected (Top Importance))
Tower_Type,0.000076,N/A,1.063418,Removed,Ranked #54 in importance (not in top 28)
Substation_Type,0.000217,N/A,0.356918,Removed,Ranked #52 in importance (not in top 28)
Historical_Demand,0.035876,N/A,0.938263,Selected,Kept (Selected (Top Importance))
Current_Inventory,0.010148,N/A,0.745389,Selected,Kept (Selected (Top Importance))
Lead_Time_Days,0.006733,N/A,0.900560,Selected,Kept (Selected (Top Importance))
Supplier_Risk,0.002497,Corr=0.8896 (Keep Supplier_Risk_Score over Supplier_Risk due to higher importance/variance),0.700235,Removed,Corr=0.8896 (Keep Supplier_Risk_Score over Supplier_Risk due to higher importance/variance)
Commodity_Price,0.004283,N/A,0.849851,Removed,Ranked #41 in importance (not in top 28)
Transportation_Cost,0.000377,Corr=0.9409 (Keep Transportation_Cost_Index over Transportation_Cost due to higher importance/variance),0.682589,Removed,Corr=0.9409 (Keep Transportation_Cost_Index over Transportation_Cost due to higher importance/variance)
Storage_Capacity,0.011048,N/A,0.594146,Selected,Kept (Selected (Top Importance))
Production_Capacity,0.011241,N/A,0.719301,Selected,Kept (Selected (Top Importance))
Project_Budget,0.006252,N/A,0.638611,Removed,Ranked #29 in importance (not in top 28)
Weather,0.000202,N/A,0.547505,Removed,Ranked #53 in importance (not in top 28)
Season,0.000713,N/A,1.401201,Removed,Ranked #46 in importance (not in top 28)
Year,0.005164,N/A,2.917210,Removed,Ranked #37 in importance (not in top 28)
Month,0.000775,N/A,11.829059,Removed,Ranked #45 in importance (not in top 28)
WeekOfYear,0.000716,Corr=0.9963 (Keep Month over WeekOfYear due to higher importance/variance),225.466229,Removed,Corr=0.9963 (Keep Month over WeekOfYear due to higher importance/variance)
DayOfWeek,N/A,N/A,0.000000,Removed,Constant feature (variance = 0)
Is_Quarter_End,0.000048,N/A,0.009528,Removed,Ranked #55 in importance (not in top 28)
Month_Sin,0.000472,N/A,0.499967,Removed,Ranked #47 in importance (not in top 28)
Month_Cos,0.000049,Corr=0.9696 (Keep Week_Cos over Month_Cos due to higher importance/variance),0.500094,Removed,Corr=0.9696 (Keep Week_Cos over Month_Cos due to higher importance/variance)
Week_Sin,0.000103,Corr=0.9697 (Keep Month_Sin over Week_Sin due to higher importance/variance),0.500054,Removed,Corr=0.9697 (Keep Month_Sin over Week_Sin due to higher importance/variance)
Week_Cos,0.000305,N/A,0.500053,Removed,Ranked #50 in importance (not in top 28)
Lag_1,0.017065,Corr=0.9576 (Keep Rolling_Max_3 over Lag_1 due to higher importance/variance),92028.682532,Removed,Corr=0.9576 (Keep Rolling_Max_3 over Lag_1 due to higher importance/variance)
Lag_2,0.016030,Corr=0.8982 (Keep Classical_Trend over Lag_2 due to higher importance/variance),91206.656451,Removed,Corr=0.8982 (Keep Classical_Trend over Lag_2 due to higher importance/variance)
Lag_3,0.015531,Corr=0.8906 (Keep Classical_Trend over Lag_3 due to higher importance/variance),90415.414286,Removed,Corr=0.8906 (Keep Classical_Trend over Lag_3 due to higher importance/variance)
Rolling_Mean_3,0.018244,Corr=0.9335 (Keep Historical_Demand over Rolling_Mean_3 due to higher importance/variance),87678.412781,Removed,Corr=0.9335 (Keep Historical_Demand over Rolling_Mean_3 due to higher importance/variance)
Rolling_Mean_6,0.017873,Corr=0.9892 (Keep Rolling_Mean_3 over Rolling_Mean_6 due to higher importance/variance),85985.415119,Removed,Corr=0.9892 (Keep Rolling_Mean_3 over Rolling_Mean_6 due to higher importance/variance)
Rolling_Max_3,0.017676,Corr=0.9703 (Keep Rolling_Mean_6 over Rolling_Max_3 due to higher importance/variance),112552.948589,Removed,Corr=0.9703 (Keep Rolling_Mean_6 over Rolling_Max_3 due to higher importance/variance)
Rolling_Min_3,0.016799,Corr=0.9183 (Keep Rolling_Max_3 over Rolling_Min_3 due to higher importance/variance),72680.991551,Removed,Corr=0.9183 (Keep Rolling_Max_3 over Rolling_Min_3 due to higher importance/variance)
Rolling_STD_3,0.007758,N/A,5655.395012,Selected,Kept (Selected (Top Importance))
Demand_Velocity_1,0.005244,N/A,13750.019419,Removed,Ranked #36 in importance (not in top 28)
Demand_Velocity_2,0.004848,N/A,13649.797182,Removed,Ranked #39 in importance (not in top 28)
Demand_Acceleration,0.005492,N/A,37353.406441,Removed,Ranked #34 in importance (not in top 28)
Demand_Volatility_3,0.005469,N/A,0.069289,Removed,Ranked #35 in importance (not in top 28)
Peak_Spike_Flag,0.000277,N/A,0.079464,Removed,Ranked #51 in importance (not in top 28)
Dip_Drop_Flag,0.000352,N/A,0.086627,Removed,Ranked #49 in importance (not in top 28)
Inventory_Utilization,0.009577,Corr=0.9579 (Keep Current_Inventory over Inventory_Utilization due to higher importance/variance),0.007407,Removed,Corr=0.9579 (Keep Current_Inventory over Inventory_Utilization due to higher importance/variance)
Lead_Time_Category,0.004939,Corr=0.9466 (Keep Lead_Time_Days over Lead_Time_Category due to higher importance/variance),0.474942,Removed,Corr=0.9466 (Keep Lead_Time_Days over Lead_Time_Category due to higher importance/variance)
Demand_Growth,0.004144,N/A,0.215591,Removed,Ranked #42 in importance (not in top 28)
Inventory_Coverage,0.004654,N/A,155.580776,Removed,Ranked #40 in importance (not in top 28)
Budget_Utilization,0.012460,Corr=0.8719 (Keep Rolling_Min_3 over Budget_Utilization due to higher importance/variance),0.110740,Removed,Corr=0.8719 (Keep Rolling_Min_3 over Budget_Utilization due to higher importance/variance)
Supplier_Risk_Score,0.004678,Corr=0.8741 (Keep Lead_Time_Category over Supplier_Risk_Score due to higher importance/variance),0.013592,Removed,Corr=0.8741 (Keep Lead_Time_Category over Supplier_Risk_Score due to higher importance/variance)
Seasonal_Demand_Index,0.010576,N/A,0.028338,Selected,Kept (Selected (Top Importance))
Transportation_Cost_Index,0.000407,N/A,0.039444,Removed,Ranked #48 in importance (not in top 28)
Quantity_Required,N/A,N/A,N/A,Selected,Kept (Protected)
Material_Type,N/A,N/A,N/A,Selected,Kept (Protected)
Region,N/A,N/A,N/A,Selected,Kept (Protected)
Classical_Trend,0.016232,Corr=0.8976 (Keep Rolling_Min_3 over Classical_Trend due to higher importance/variance),323896.475433,Removed,Corr=0.8976 (Keep Rolling_Min_3 over Classical_Trend due to higher importance/variance)
Classical_Seasonal,0.005743,N/A,18596.482937,Removed,Ranked #30 in importance (not in top 28)
Classical_Residual,0.005567,N/A,44065.658331,Removed,Ranked #32 in importance (not in top 28)
EMD_IMF_1,0.007950,N/A,24669.761695,Selected,Kept (Selected (Top Importance))
EMD_IMF_2,0.006356,N/A,14805.804252,Selected,Kept (Selected (Top Importance))
EMD_IMF_3,0.005499,N/A,13664.475400,Removed,Ranked #33 in importance (not in top 28)
EMD_IMF_4,0.005105,N/A,15501.416688,Removed,Ranked #38 in importance (not in top 28)
EMD_IMF_5,0.007623,N/A,41253.651160,Selected,Kept (Selected (Top Importance))
EMD_IMF_6,0.015428,Corr=0.9289 (Keep Classical_Trend over EMD_IMF_6 due to higher importance/variance),319401.207495,Removed,Corr=0.9289 (Keep Classical_Trend over EMD_IMF_6 due to higher importance/variance)
EMD_Residual,N/A,N/A,0.000000,Removed,Low variance (0.00000)
Signal_Length,N/A,N/A,0.000000,Removed,Constant feature (variance = 0)
Signal_Energy,0.011262,Corr=0.9542 (Keep EMD_IMF_6_Var over Signal_Energy due to higher importance/variance),43605721829175016.000000,Removed,Corr=0.9542 (Keep EMD_IMF_6_Var over Signal_Energy due to higher importance/variance)
Signal_Mean_Energy,0.011347,Corr=0.8613 (Keep EMD_IMF_3_Var over Signal_Mean_Energy due to higher importance/variance),447954900447.639465,Removed,Corr=0.8613 (Keep EMD_IMF_3_Var over Signal_Mean_Energy due to higher importance/variance)
Signal_Entropy,0.011134,N/A,0.068736,Selected,Kept (Selected (Top Importance))
Dominant_Frequency,N/A,N/A,0.000002,Removed,Low variance (0.00000)
Trend_Strength,0.010957,N/A,0.006167,Selected,Kept (Selected (Top Importance))
Seasonality_Strength,0.010834,N/A,0.013263,Selected,Kept (Selected (Top Importance))
Trend_Slope,0.011298,Corr=0.9008 (Keep EMD_IMF_6_Std over Trend_Slope due to higher importance/variance),2.371864,Removed,Corr=0.9008 (Keep EMD_IMF_6_Std over Trend_Slope due to higher importance/variance)
Residual_Variance,0.011223,Corr=0.8914 (Keep EMD_IMF_6_Var over Residual_Variance due to higher importance/variance),1295552728.658994,Removed,Corr=0.8914 (Keep EMD_IMF_6_Var over Residual_Variance due to higher importance/variance)
Residual_Mean,0.011379,Corr=0.8576 (Keep EMD_IMF_3_Std over Residual_Mean due to higher importance/variance),333.406840,Removed,Corr=0.8576 (Keep EMD_IMF_3_Std over Residual_Mean due to higher importance/variance)
Residual_Std,0.011298,Corr=0.9461 (Keep EMD_IMF_6_Std over Residual_Std due to higher importance/variance),11884.411028,Removed,Corr=0.9461 (Keep EMD_IMF_6_Std over Residual_Std due to higher importance/variance)
DWT_cA_Energy,0.011343,Corr=0.8630 (Keep EMD_IMF_3_Var over DWT_cA_Energy due to higher importance/variance),43817107255288256.000000,Removed,Corr=0.8630 (Keep EMD_IMF_3_Var over DWT_cA_Energy due to higher importance/variance)
DWT_cA_Mean,0.011307,Corr=0.9695 (Keep EMD_IMF_6_Std over DWT_cA_Mean due to higher importance/variance),1090977.645199,Removed,Corr=0.9695 (Keep EMD_IMF_6_Std over DWT_cA_Mean due to higher importance/variance)
DWT_cA_Std,0.011070,Corr=0.9105 (Keep EMD_IMF_6_Var over DWT_cA_Std due to higher importance/variance),461298.010220,Removed,Corr=0.9105 (Keep EMD_IMF_6_Var over DWT_cA_Std due to higher importance/variance)
DWT_cA_Var,0.010940,Corr=0.9531 (Keep EMD_IMF_6_Var over DWT_cA_Var due to higher importance/variance),1819224569004.493652,Removed,Corr=0.9531 (Keep EMD_IMF_6_Var over DWT_cA_Var due to higher importance/variance)
DWT_cA_Entropy,0.010772,Corr=0.9629 (Keep Signal_Entropy over DWT_cA_Entropy due to higher importance/variance),0.061904,Removed,Corr=0.9629 (Keep Signal_Entropy over DWT_cA_Entropy due to higher importance/variance)
DWT_cD_3_Energy,0.011150,Corr=0.9143 (Keep DWT_cD_1_Energy over DWT_cD_3_Energy due to higher importance/variance),4532039051687.472656,Removed,Corr=0.9143 (Keep DWT_cD_1_Energy over DWT_cD_3_Energy due to higher importance/variance)
