Date,Material,Region,Actual_Demand,P10,P50,P90,Error_From_P50,Outside_Bound
2025-09-03,Conductor,SR,1571.0,577.4253733679242,660.3334140660871,704.4885309152492,910.6665859339129,OVER_P90
2025-10-01,Conductor,ER,2155.0,591.242452519099,1248.1651515248318,1267.2031516480051,906.8348484751682,OVER_P90
2025-02-12,Conductor,SR,1586.0,577.4253733679242,712.6568287297906,804.8249827664292,873.3431712702094,OVER_P90
2025-02-12,Hardware Fittings,ER,402.0,591.242452519099,791.075465207958,806.6256966842768,-389.075465207958,UNDER_P10
2025-04-30,Conductor,ER,1084.0,591.242452519099,740.2225350018357,784.1124277672643,343.7774649981643,OVER_P90
2025-10-22,Tower Member,SR,885.0,509.61539686691606,583.4645355266218,683.5987066510136,301.53546447337817,OVER_P90
2025-04-30,Tower Member,SR,915.0,568.348615878598,681.6317222178254,832.8620472043203,233.36827778217457,OVER_P90
2025-12-03,Hardware Fittings,NR,222.0,338.7473396811632,417.6146245063193,569.6813915714679,-195.61462450631927,UNDER_P10
2025-12-17,Insulator,NR,684.0,450.98625836393575,493.4284408246533,681.2611580193517,190.5715591753467,OVER_P90
2025-07-09,Insulator,WR,316.0,429.35360302298056,497.4701781370607,683.7759759160842,-181.4701781370607,UNDER_P10
2025-07-23,Tower Member,NER,227.0,399.4062017097596,388.0576280387369,448.5624967114553,-161.05762803873688,UNDER_P10
2025-09-10,Earthwire,SR,426.0,236.452937722316,273.20801892648655,292.3793002511189,152.79198107351345,OVER_P90
2025-08-06,Conductor,NER,599.0,438.0373588712914,454.5715174246879,500.1326485567314,144.4284825753121,OVER_P90
2025-05-21,Hardware Fittings,NER,0.0,5.389255631608895,143.79876599740533,235.56470972370224,-143.79876599740533,UNDER_P10
2025-07-09,Conductor,NER,531.0,376.8578516481478,392.5661876613679,405.0728278894551,138.4338123386321,OVER_P90
2025-07-16,Earthwire,ER,162.0,294.4668648307948,298.9847124234472,342.67434171231804,-136.9847124234472,UNDER_P10
2025-09-10,Insulator,NER,154.0,279.67580746586003,270.1780561392444,314.01792268184664,-116.1780561392444,UNDER_P10
2025-09-03,Hardware Fittings,WR,195.0,304.60508877386417,309.3478819377416,405.780935859524,-114.34788193774159,UNDER_P10
2025-10-08,Hardware Fittings,SR,208.0,406.6848076412247,318.9483409605532,499.26314878884943,-110.9483409605532,UNDER_P10
2025-07-02,Earthwire,ER,108.0,155.78127334496895,191.8281360979945,246.81134073027368,-83.8281360979945,UNDER_P10
2025-05-28,Earthwire,NER,238.0,87.33107642162506,160.89128576359093,230.0013590116372,77.10871423640907,OVER_P90
2025-02-05,Tower Member,ER,1437.0,591.242452519099,1361.6233113408316,1399.9383702808495,75.3766886591684,OVER_P90
2025-06-11,Hardware Fittings,ER,120.0,208.48763641689985,192.6781251491538,276.093014535124,-72.6781251491538,UNDER_P10
2025-11-05,Conductor,SR,2155.0,591.242452519099,2098.2003970136675,2151.5604681158143,56.7996029863325,OVER_P90
2025-12-17,Conductor,SR,2155.0,591.242452519099,2098.2003970136675,2151.5604681158143,56.7996029863325,OVER_P90
2025-05-21,Conductor,SR,2155.0,591.242452519099,2098.2003970136675,2151.5604681158143,56.7996029863325,OVER_P90
2025-04-09,Conductor,ER,2155.0,591.242452519099,2098.2003970136675,2151.5604681158143,56.7996029863325,OVER_P90
2025-08-13,Transformer,ER,12.0,17.958948411761444,68.62266107187357,203.24822165165267,-56.622661071873566,UNDER_P10
2025-07-23,Conductor,SR,1420.0,591.242452519099,1363.460077134722,1399.123444849694,56.53992286527796,OVER_P90
2025-11-19,Insulator,WR,403.0,434.6976535429917,455.1329163943621,506.3136252177216,-52.1329163943621,UNDER_P10
2025-11-19,Hardware Fittings,SR,370.0,405.47957150182737,419.7593822521704,430.47261609641214,-49.75938225217038,UNDER_P10
2025-09-24,Earthwire,NR,294.0,311.87183660161446,342.4890449393451,367.6714283091404,-48.48904493934509,UNDER_P10
2025-08-06,Conductor,SR,1243.0,591.242452519099,1195.1957980396774,1226.4248387514535,47.804201960322644,OVER_P90
2025-12-03,Tower Member,SR,1461.0,591.242452519099,1417.0521597893442,1451.0261573857956,43.94784021065584,OVER_P90
2025-04-30,Conductor,NR,1398.0,591.242452519099,1356.3814516722834,1369.310286595746,41.61854832771655,OVER_P90
2025-12-10,Hardware Fittings,NR,463.0,473.0413898011201,504.55436982959895,642.3073034421631,-41.554369829598954,UNDER_P10
2025-07-30,Hardware Fittings,NER,98.0,126.4142602817358,139.22757287576516,200.9934815035105,-41.22757287576516,UNDER_P10
2025-12-03,Earthwire,SR,310.0,236.452937722316,273.20801892648655,292.3793002511189,36.791981073513455,OVER_P90
2025-08-06,Hardware Fittings,ER,299.0,234.55927865325864,262.668340100465,292.3793002511189,36.331659899535,OVER_P90
2025-04-02,Hardware Fittings,WR,442.0,447.593824033678,478.1102483113558,628.4236920961637,-36.110248311355804,UNDER_P10
2025-08-20,Conductor,NR,971.0,591.242452519099,934.9643486428764,964.3472891655828,36.035651357123584,OVER_P90
2025-01-22,Tower Member,NER,999.0,588.3425887451693,963.111071948233,997.9116620009632,35.88892805176704,OVER_P90
2025-06-04,Hardware Fittings,NER,120.0,143.40896102942546,155.7533532085241,204.85331064038888,-35.75335320852409,UNDER_P10
2025-11-26,Conductor,NER,1229.0,591.242452519099,1193.279897854158,1219.4481236694282,35.72010214584202,OVER_P90
2025-07-02,Hardware Fittings,NER,115.0,134.6579844429834,150.112853208524,207.96162533839225,-35.112853208524,UNDER_P10
2025-11-26,Hardware Fittings,WR,411.0,433.8834534327789,445.5677483113558,505.4559406734437,-34.567748311355786,UNDER_P10
