Rank,Feature,Mean_Absolute_SHAP,Percentage_Importance,Cumulative_Importance
1,EMD_IMF_6,252.3129371790478,27.483987514379997,27.483987514379997
2,EMD_IMF_5,182.75381915344965,19.907039805312714,47.39102731969271
3,Classical_Residual,155.26893395165987,16.91316144867454,64.30418876836725
4,Classical_Seasonal,129.28625120614137,14.082915262522075,78.38710403088933
5,EMD_IMF_4,91.09339978086543,9.922637698292517,88.30974172918185
6,EMD_IMF_1,20.196814966163796,2.2000021741508378,90.50974390333269
7,DWT_cD_2_Energy,18.87162800118603,2.0556519778950566,92.56539588122774
8,EMD_IMF_5_Mean,10.041864331261905,1.0938419447975039,93.65923782602525
9,DWT_cD_2_Mean,8.095221222575795,0.8817976656089308,94.54103549163418
10,DWT_cA_Entropy,7.1822512009563795,0.7823495082701524,95.32338499990433
11,Trend_Strength,5.504646102727779,0.5996110482875944,95.92299604819193
12,Residual_Mean,5.21978421400998,0.568581562917659,96.49157761110959
13,EMD_IMF_3_Var,5.149522214070808,0.5609280515652338,97.05250566267482
14,DWT_cD_3_Mean,5.141560222487234,0.5600607663609193,97.61256642903574
15,EMD_IMF_6_Std,4.435132394584175,0.4831108730301602,98.0956773020659
16,EMD_IMF_2_Mean,4.26712327587904,0.4648099465203269,98.56048724858623
17,DWT_cD_1_Mean,4.240418258115012,0.46190101769961806,99.02238826628584
18,DWT_cD_2_Entropy,3.125271835388442,0.34043015416964584,99.3628184204555
19,DWT_cD_1_Entropy,2.997968655953199,0.326563251293967,99.68938167174946
20,DWT_cD_3_Entropy,2.8515885004509793,0.3106183282505596,100.00000000000001
