Model_A,Model_B,Statistic,P_Value,Significant_Alpha_0.05,Mean_AE_Model_A,Mean_AE_Model_B,Superior_Model
lightgbm_quantile,lstm,47173.0,3.565455141027701e-196,True,17.837354025496424,146.52878539395832,lightgbm_quantile
lightgbm_quantile,mlp,274749.5,6.389520245749273e-54,True,17.837354025496424,27.111421190357564,lightgbm_quantile
lightgbm_quantile,random_forest,417248.0,1.2603217093934145e-10,True,17.837354025496424,23.356351478741363,lightgbm_quantile
lightgbm_quantile,svr,35734.5,1.05353808310654e-205,True,17.837354025496424,221.70551297490977,lightgbm_quantile
lightgbm_quantile,xgboost,360709.5,1.3200227239713928e-23,True,17.837354025496424,22.8619508400625,lightgbm_quantile
lstm,mlp,86194.0,2.218090043283858e-165,True,146.52878539395832,27.111421190357564,mlp
lstm,random_forest,68174.0,2.8496918302842026e-179,True,146.52878539395832,23.356351478741363,random_forest
lstm,svr,291030.0,3.3919467254851883e-47,True,146.52878539395832,221.70551297490977,lstm
lstm,xgboost,71766.0,1.857402345167305e-176,True,146.52878539395832,22.8619508400625,xgboost
mlp,random_forest,360356.5,1.0526405986966638e-23,True,27.111421190357564,23.356351478741363,random_forest
mlp,svr,56884.0,2.907159874803392e-188,True,27.111421190357564,221.70551297490977,mlp
mlp,xgboost,405519.0,7.228427219494881e-13,True,27.111421190357564,22.8619508400625,xgboost
random_forest,svr,48192.0,2.4544928731139814e-195,True,23.356351478741363,221.70551297490977,random_forest
random_forest,xgboost,454679.0,4.9025479569194224e-05,True,23.356351478741363,22.8619508400625,xgboost
svr,xgboost,51965.0,2.9961998128771675e-192,True,221.70551297490977,22.8619508400625,xgboost
